rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/std,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/clip_fraction
1.0,-0.24439876000000005,6720,105,1306,5,0.03529830165207386,-2.3192492723464966,-0.01813509240746498,0.2,0.03505986928939819,0.7704609632492065,0.009633165,-0.020233534276485443,1040,0.0003,0.03125
1.0,-0.26179281,6784,106,1306,5,0.02888154089450836,-2.3139555931091307,-0.0012380522675812244,0.2,0.05474042892456055,0.7685693502426147,0.0041514654,0.008097167126834393,1050,0.0003,0.003125
1.0,-0.22244191000000002,6848,107,1307,5,0.03167504463344813,-2.309105110168457,-0.008601303910836577,0.2,0.058688461780548096,0.7664626836776733,0.0044214614,-0.0006683021783828735,1060,0.0003,0.015625
1.0,-0.20912578999999998,6912,108,1307,5,0.041166283935308454,-2.302840495109558,-0.005339379236102104,0.2,0.027332305908203125,0.7639675140380859,0.006099851,0.011738335713744164,1070,0.0003,0.01875
1.0,-0.25842197,6976,109,1307,5,0.02915117759257555,-2.2972624778747557,-0.008328092005103826,0.2,0.04572659730911255,0.7623127698898315,0.0019140244,-0.010696583427488804,1080,0.0003,0.0
1.0,-0.2298249,7040,110,1307,5,0.03593232296407223,-2.293068528175354,-0.00997970039024949,0.2,0.03928250074386597,0.7605106830596924,0.014009984,0.00286988727748394,1090,0.0003,0.0734375
1.0,-0.22613470999999993,7104,111,1307,5,0.03554031103849411,-2.2879061937332152,-0.0015707045793533325,0.2,0.04138767719268799,0.7584648132324219,0.00092580914,0.008250242099165916,1100,0.0003,0.0
1.0,-0.23414029,7168,112,1306,5,0.028054573200643064,-2.282806730270386,-0.010469219600781798,0.2,0.043577373027801514,0.7567204236984253,0.0074724853,-0.010946903377771378,1110,0.0003,0.015625
1.0,-0.21151050000000005,7232,113,1306,5,0.024365281127393244,-2.2783140420913695,-0.0035147348418831824,0.2,0.07637572288513184,0.7550255656242371,0.0063834004,0.0015574079006910324,1120,0.0003,0.0328125
1.0,-0.22990868999999997,7296,114,1305,5,0.029447535425424574,-2.273850607872009,-0.013434330374002457,0.2,0.08182108402252197,0.7533419728279114,0.009764141,-0.012601104564964771,1130,0.0003,0.0375
1.0,-0.21963672000000004,7360,115,1303,5,0.04222695603966713,-2.2692729473114013,-0.011120752617716789,0.2,0.016308248043060303,0.7515478134155273,0.011083772,0.007445896044373512,1140,0.0003,0.071875
1.0,-0.21869626,7424,116,1301,5,0.036092295125126836,-2.26435010433197,-0.008946166560053825,0.2,0.047998011112213135,0.749596357345581,0.0034487871,0.0006508231163024902,1150,0.0003,0.0109375
1.0,-0.25370898000000003,7488,117,1297,5,0.03421871140599251,-2.259303832054138,-0.016426136158406733,0.2,0.039235591888427734,0.7479288578033447,0.005934478,-0.02392209880053997,1160,0.0003,0.0109375
1.0,-0.26795115999999997,7552,118,1295,5,0.04424883313477039,-2.2546467781066895,-0.004572847299277783,0.2,0.07481646537780762,0.7459304332733154,0.011850061,0.015226181596517563,1170,0.0003,0.090625
1.0,-0.23370971999999998,7616,119,1293,5,0.03581962734460831,-2.249502682685852,-0.014054070040583611,0.2,0.09973043203353882,0.7443024516105652,0.006842278,-0.014932304620742798,1180,0.0003,0.009375
1.0,-0.22475008999999996,7680,120,1291,5,0.03542116843163967,-2.2448835134506226,-0.0023166948929429056,0.2,0.022758960723876953,0.7421982288360596,0.005354966,0.012648392468690872,1190,0.0003,0.0328125
1.0,-0.22136520999999998,7744,121,1290,5,0.038889212533831596,-2.239096832275391,-0.0098298704251647,0.2,0.03935730457305908,0.740225076675415,0.005397708,-0.001372380182147026,1200,0.0003,0.0171875
1.0,-0.23351317,7808,122,1289,6,0.03385258726775646,-2.233626890182495,-0.0021733629517257215,0.2,0.06316190958023071,0.7379807233810425,0.004038969,0.011469542980194092,1210,0.0003,0.0125
1.0,-0.20729507000000003,7872,123,1287,6,0.034073296934366226,-2.227888584136963,-0.012422098219394684,0.2,0.0834585428237915,0.7362073659896851,0.004320233,-0.013934900984168053,1220,0.0003,0.00625
1.0,-0.21350934,7936,124,1284,6,0.02396977934986353,-2.223202872276306,0.0006074696779251098,0.2,0.07334268093109131,0.734345018863678,0.0010084072,0.008988373912870884,1230,0.0003,0.0
1.0,-0.20895236,8000,125,1281,6,0.030377575755119325,-2.218036437034607,-0.016163285076618194,0.2,0.032811522483825684,0.7325708270072937,0.009930351,-0.014264388009905815,1240,0.0003,0.0421875
1.0,-0.19177318000000004,8064,126,1278,6,0.025375739298760892,-2.2136922597885134,-0.01789269670844078,0.2,0.03680521249771118,0.7311536073684692,0.006389361,-0.026055924594402313,1250,0.0003,0.0171875
1.0,-0.23078219,8128,127,1275,6,0.02854301780462265,-2.20980486869812,-6.522508338093757e-05,0.2,0.07640999555587769,0.7296528816223145,0.0051912516,0.013204875402152538,1260,0.0003,0.0171875
1.0,-0.26210743999999997,8192,128,1272,6,0.04086856991052627,-2.205438423156738,-0.011286881379783153,0.2,0.02392745018005371,0.7278481721878052,0.004584075,-0.0020650625228881836,1270,0.0003,0.009375
1.0,-0.24635457,8256,129,1270,6,0.0334025576710701,-2.2001144170761107,-0.001427065208554268,0.2,0.06876611709594727,0.7259522676467896,0.0029620146,0.012223079800605774,1280,0.0003,0.0046875
1.0,-0.238797,8320,130,1269,6,0.037787864357233046,-2.195136308670044,-0.015560729056596756,0.2,0.05146580934524536,0.7241722345352173,0.009322801,-0.0026612170040607452,1290,0.0003,0.0484375
1.0,-0.20814308,8384,131,1267,6,0.028652965649962427,-2.19041531085968,-0.010060755722224712,0.2,0.07316774129867554,0.7226368188858032,0.0039114375,-0.005415627732872963,1300,0.0003,0.0046875
1.0,-0.20896454999999997,8448,132,1263,6,0.023693674802780153,-2.186600685119629,-0.024579150741919874,0.2,0.09939563274383545,0.7214606404304504,0.011863822,-0.037234336137771606,1310,0.0003,0.0359375
