time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/policy_gradient_loss
61,-0.23409374,1.0,3904,1276,3,0.0,0.027476370334625244,0.0010124734,0.0003,-2.5364838361740114,600,0.025851546414196493,0.8595383167266846,0.2,0.008689889684319496,-0.0009097220376133919
62,-0.24428659000000003,1.0,3968,1277,3,0.06875,0.03401744365692139,0.012369558,0.0003,-2.5337146520614624,610,0.03907280825078487,0.8582314252853394,0.2,0.0051239971071481705,-0.01057287659496069
63,-0.26802251,1.0,4032,1278,3,0.003125,0.033562660217285156,0.002874026,0.0003,-2.529867696762085,620,0.03291381485760212,0.8559558987617493,0.2,0.009619109332561493,-0.003289003483951092
64,-0.23898714999999998,1.0,4096,1280,3,0.0125,0.025974154472351074,0.005693957,0.0003,-2.5242581367492676,630,0.03237898983061314,0.8538916707038879,0.2,-0.0300145260989666,-0.01906913472339511
65,-0.23609451,1.0,4160,1281,3,0.0765625,0.02440887689590454,0.01161265,0.0003,-2.5199587106704713,640,0.04079149328172207,0.8522382378578186,0.2,0.01569894328713417,-0.00651047620922327
66,-0.25780647,1.0,4224,1282,3,0.0328125,-0.04646158218383789,0.009044143,0.0003,-2.516386318206787,650,0.030949291959404945,0.8508361577987671,0.2,-0.010757829993963242,-0.015148223098367452
67,-0.23664625,1.0,4288,1282,3,0.0515625,-0.007021784782409668,0.012916867,0.0003,-2.5129064559936523,660,0.04691358990967274,0.8490854501724243,0.2,0.0012847576290369034,-0.015054210461676121
68,-0.26118958999999997,1.0,4352,1282,3,0.059375,0.021193504333496094,0.013865674,0.0003,-2.508387637138367,670,0.03443050310015679,0.8471372127532959,0.2,-0.01562967151403427,-0.018172415904700756
69,-0.22769783999999993,1.0,4416,1283,3,0.0,0.02505016326904297,0.0024205465,0.0003,-2.503506398200989,680,0.03314650058746338,0.844906210899353,0.2,0.0053385961800813675,-0.002477907668799162
70,-0.23087278999999994,1.0,4480,1284,3,0.0,0.07322299480438232,0.00030954834,0.0003,-2.4985420942306518,690,0.0227873669937253,0.8431974649429321,0.2,0.0035043098032474518,0.0034162030555307866
71,-0.22279053,1.0,4544,1285,3,0.040625,0.0375058650970459,0.0082533015,0.0003,-2.494512438774109,700,0.032981617376208305,0.8412127494812012,0.2,0.0044181812554597855,-0.009212152566760778
72,-0.25000280999999996,1.0,4608,1287,3,0.003125,0.03525102138519287,0.0027900822,0.0003,-2.4899362087249757,710,0.022470098920166492,0.8395423889160156,0.2,-0.002820925787091255,-0.0057919412851333615
73,-0.24868061,1.0,4672,1288,3,0.0109375,0.04139596223831177,0.0050093047,0.0003,-2.486212372779846,720,0.03587104864418507,0.8380659818649292,0.2,-0.0006736312061548233,-0.006104832701385021
74,-0.25546813,1.0,4736,1288,3,0.0515625,0.034499406814575195,0.010054782,0.0003,-2.482052707672119,730,0.03553351163864136,0.8359194397926331,0.2,0.011984270066022873,-0.005809567123651505
75,-0.22598369999999998,1.0,4800,1289,3,0.0,0.02717602252960205,0.0014385777,0.0003,-2.4770957946777346,740,0.03467245101928711,0.8341997265815735,0.2,0.007656395435333252,-0.003981767781078815
76,-0.27848499,1.0,4864,1289,3,0.0078125,0.04499673843383789,0.004303757,0.0003,-2.4729723930358887,750,0.0407668761909008,0.8322913646697998,0.2,0.009004466235637665,-0.004514826461672783
77,-0.25295112000000003,1.0,4928,1289,3,0.003125,0.05351942777633667,0.0036450392,0.0003,-2.468060755729675,760,0.03648661524057388,0.8303413391113281,0.2,0.0037562772631645203,-0.003341230284422636
78,-0.21442818000000002,1.0,4992,1289,3,0.0265625,0.04922080039978027,0.006928551,0.0003,-2.4631637811660765,770,0.03348858151584864,0.8280641436576843,0.2,0.012400743551552296,-0.0017516834661364556
79,-0.22767637999999998,1.0,5056,1290,3,0.021875,0.052537620067596436,0.00744584,0.0003,-2.457771873474121,780,0.024112999998033048,0.8261642456054688,0.2,-0.01462184451520443,-0.011199967749416829
80,-0.24501482000000002,1.0,5120,1291,3,0.0296875,0.04033100605010986,0.004892162,0.0003,-2.4536905765533445,790,0.034305913001298906,0.8246974945068359,0.2,0.01475820504128933,-0.0018200786784291268
81,-0.24916375000000004,1.0,5184,1292,4,0.0,0.027794837951660156,0.0010806425,0.0003,-2.450359272956848,800,0.035320697352290154,0.8233814835548401,0.2,-0.0021652132272720337,-0.006308157928287983
82,-0.22332114,1.0,5248,1293,4,0.015625,0.00802469253540039,0.0052825026,0.0003,-2.4469784021377565,810,0.03473297543823719,0.8219258785247803,0.2,-0.0004065409302711487,-0.01129380650818348
