rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/std,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,train/loss
-0.21432246000000002,1.0,16000,250,1198,13,-0.009890295006334782,0.5125671029090881,0.0072069997,0.0003,-1.5039671778678894,0.02902088686823845,0.014913022518157959,2490,0.0234375,0.2,-0.0032634632661938667
-0.19406431000000002,1.0,16064,251,1198,13,-0.017697040736675263,0.5114555358886719,0.021333877,0.0003,-1.4991297483444215,0.05923026092350483,0.018860042095184326,2500,0.1328125,0.2,0.0007671359926462173
-0.17814682999999998,1.0,16128,252,1198,13,-0.012217469792813063,0.5104535818099976,0.0064821215,0.0003,-1.4950811982154846,0.03109806627035141,0.04584681987762451,2510,0.0109375,0.2,-0.01708371937274933
-0.15278431,1.0,16192,253,1198,13,-0.0004315449856221676,0.5092953443527222,0.0024958048,0.0003,-1.4909006714820863,0.02597362045198679,-0.004915475845336914,2520,0.0,0.2,0.006031638011336327
-0.16723118000000003,1.0,16256,254,1198,13,-0.00016052424907684327,0.5079210996627808,0.00043060724,0.0003,-1.4860307693481445,0.024193855188786983,0.15391147136688232,2530,0.0,0.2,0.00792829878628254
-0.14930191,1.0,16320,255,1198,13,-0.006222738139331341,0.5066205263137817,0.0031883782,0.0003,-1.4805854916572572,0.031814759224653245,0.10133284330368042,2540,0.0015625,0.2,-0.005445176735520363
-0.15522498,1.0,16384,256,1198,13,0.0012084740214049817,0.5050693154335022,0.00059121754,0.0003,-1.4752396583557128,0.02811584621667862,0.07092452049255371,2550,0.0,0.2,0.012710614129900932
-0.18633376000000001,1.0,16448,257,1199,13,-0.007440678030252457,0.503646969795227,0.0022527417,0.0003,-1.4690358996391297,0.02745652701705694,0.04885965585708618,2560,0.0015625,0.2,-0.007607737556099892
-0.21698444000000003,1.0,16512,258,1199,13,-0.008054389245808124,0.5026508569717407,0.006379691,0.0003,-1.4641611456871033,0.04039573818445206,0.09521275758743286,2570,0.0171875,0.2,-0.007762599736452103
-0.18954274999999995,1.0,16576,259,1199,13,-0.004957368969917298,0.5012889504432678,0.0027132155,0.0003,-1.4599016427993774,0.055201731622219086,-0.002700328826904297,2580,0.003125,0.2,0.011191505938768387
-0.14856998,1.0,16640,260,1199,13,-0.003272243030369282,0.5000972151756287,0.0051803924,0.0003,-1.454304838180542,0.0321925837546587,0.02786344289779663,2590,0.003125,0.2,-0.0006324257701635361
-0.20572719000000003,1.0,16704,261,1199,13,-0.011753737926483154,0.4989188313484192,0.015373692,0.0003,-1.4499237298965455,0.030458252131938934,0.16600346565246582,2600,0.075,0.2,-0.006098177284002304
-0.18806249,1.0,16768,262,1199,13,-0.00335945775732398,0.49767935276031494,0.0023630848,0.0003,-1.4448357582092286,0.03308168016374111,0.06737810373306274,2610,0.0015625,0.2,0.003914510831236839
-0.17702118000000003,1.0,16832,263,1199,14,-0.0019214259460568427,0.4965893030166626,0.0012604892,0.0003,-1.4401141166687013,0.029430676251649857,0.23878973722457886,2620,0.0,0.2,0.0011764364317059517
-0.16834636,1.0,16896,264,1199,14,-0.0011902370490133763,0.49504607915878296,0.0015528062,0.0003,-1.4351617455482484,0.02809337470680475,0.0064165592193603516,2630,0.0,0.2,0.00859670527279377
-0.15376895000000002,1.0,16960,265,1200,14,-0.013614695705473422,0.4936665892601013,0.009964974,0.0003,-1.4287755250930787,0.031578116863965985,0.112995445728302,2640,0.0296875,0.2,-0.009374784305691719
-0.14609354999999996,1.0,17024,266,1199,14,-0.010926613584160805,0.4922671318054199,0.0069537554,0.0003,-1.4234550952911378,0.024168440513312815,0.2044849395751953,2650,0.0296875,0.2,-0.006836719810962677
-0.19179398999999997,1.0,17088,267,1200,14,-0.005747693777084351,0.49072593450546265,0.00361849,0.0003,-1.4174340963363647,0.02458832897245884,0.16196668148040771,2660,0.003125,0.2,0.0005663754418492317
-0.18785941,1.0,17152,268,1200,14,-0.004400667548179626,0.48951148986816406,0.00527265,0.0003,-1.4115320324897767,0.05525037981569767,0.0008088946342468262,2670,0.009375,0.2,0.008690783753991127
-0.14267868000000003,1.0,17216,269,1200,14,-0.007773381005972624,0.4883471131324768,0.007998596,0.0003,-1.4068110823631286,0.03142680786550045,0.07439351081848145,2680,0.05,0.2,0.006386738270521164
